dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps,times
token_length_filtered_dataset.csv,0,4,1.0,Adam,20,True,2.638618230819702,5_4_5_17_10_4_10_5_4_9_36_5_20_6_11_7_9_8_11_12,0.14_0.06_0.06_0.22_0.13_0.05_0.13_0.06_0.05_0.12_0.46_0.06_0.26_0.08_0.14_0.09_0.12_0.10_0.14_0.15
token_length_filtered_dataset.csv,1,4,1.0,Adam,20,True,2.520509719848633,10_6_6_23_10_9_10_4_2_16_8_13_11_20_15_3_7_8_6_10,0.12_0.08_0.08_0.29_0.13_0.12_0.13_0.05_0.03_0.21_0.10_0.17_0.14_0.26_0.19_0.04_0.09_0.10_0.08_0.13
token_length_filtered_dataset.csv,2,4,1.0,Adam,20,True,2.0742404460906982,10_4_9_7_10_10_8_2_4_5_9_7_7_4_9_4_11_25_6_11,0.12_0.05_0.11_0.09_0.13_0.13_0.10_0.03_0.05_0.06_0.11_0.09_0.09_0.05_0.12_0.05_0.14_0.32_0.08_0.14
token_length_filtered_dataset.csv,3,4,1.0,Adam,20,True,2.85587739944458,4_11_34_11_10_8_12_5_7_10_11_14_7_8_22_8_3_8_21_9,0.05_0.14_0.43_0.14_0.13_0.10_0.15_0.06_0.09_0.13_0.14_0.18_0.09_0.10_0.28_0.10_0.04_0.10_0.27_0.12
token_length_filtered_dataset.csv,4,4,1.0,Adam,20,True,2.916529893875122,4_7_18_6_3_3_9_15_7_6_9_15_8_10_3_49_8_21_18_8,0.05_0.09_0.23_0.08_0.04_0.04_0.12_0.19_0.09_0.08_0.12_0.19_0.10_0.13_0.04_0.63_0.10_0.27_0.23_0.10
token_length_filtered_dataset.csv,5,4,1.0,Adam,20,True,2.2215850353240967,6_12_8_5_6_8_12_5_9_5_8_6_5_6_13_8_21_9_9_13,0.07_0.15_0.10_0.06_0.08_0.10_0.15_0.06_0.11_0.06_0.10_0.08_0.06_0.08_0.17_0.10_0.27_0.12_0.12_0.17
token_length_filtered_dataset.csv,6,4,1.0,Adam,20,True,2.5175023078918457,10_8_10_7_6_5_7_26_8_6_4_7_7_5_9_4_8_8_21_30,0.13_0.10_0.13_0.09_0.08_0.06_0.09_0.34_0.10_0.08_0.05_0.09_0.09_0.06_0.12_0.05_0.10_0.10_0.27_0.39
token_length_filtered_dataset.csv,7,4,1.0,Adam,20,True,213.0678210258484,6_11_9_5_8_5_7_8_3663_5_8_12_7_8_241_5_14_10_12567_12,0.07_0.14_0.11_0.06_0.10_0.06_0.09_0.10_46.99_0.06_0.10_0.15_0.09_0.10_3.09_0.06_0.18_0.13_161.21_0.15
token_length_filtered_dataset.csv,8,4,1.0,Adam,20,True,3.258913040161133,4_8_8_6_7_9_10_8_65_14_4_5_8_46_14_7_8_10_5_11,0.05_0.10_0.10_0.08_0.09_0.11_0.13_0.10_0.82_0.18_0.05_0.06_0.10_0.58_0.18_0.09_0.10_0.13_0.06_0.14
token_length_filtered_dataset.csv,9,4,1.0,Adam,20,True,117.56600642204285,6_58_9_10_8998_5_12_9_14_4_7_5_48_7_5_5_5_4_6_10,0.07_0.74_0.11_0.13_114.64_0.06_0.15_0.11_0.18_0.05_0.09_0.06_0.62_0.09_0.06_0.06_0.06_0.05_0.08_0.13
token_length_filtered_dataset.csv,0,4,1.0,AdamW,20,True,2.6680281162261963,5_4_5_15_10_4_10_5_4_9_45_5_20_6_14_7_9_8_11_12,0.06_0.05_0.06_0.19_0.13_0.05_0.13_0.06_0.05_0.12_0.58_0.06_0.26_0.08_0.18_0.09_0.12_0.10_0.14_0.16
token_length_filtered_dataset.csv,1,4,1.0,AdamW,20,True,2.5249717235565186,10_6_6_23_10_9_10_4_2_19_8_13_11_18_14_3_7_8_6_10,0.12_0.08_0.08_0.29_0.13_0.11_0.13_0.05_0.03_0.25_0.10_0.17_0.14_0.23_0.18_0.04_0.09_0.10_0.08_0.13
token_length_filtered_dataset.csv,2,4,1.0,AdamW,20,True,2.043292760848999,10_4_9_7_10_10_8_2_4_5_9_7_7_4_9_4_10_23_6_11,0.13_0.05_0.12_0.09_0.13_0.13_0.10_0.03_0.05_0.06_0.11_0.09_0.09_0.05_0.12_0.05_0.13_0.30_0.08_0.14
token_length_filtered_dataset.csv,3,4,1.0,AdamW,20,True,2.8762543201446533,4_11_36_12_10_8_13_5_7_10_11_14_7_8_21_8_3_8_20_9,0.05_0.14_0.46_0.15_0.13_0.10_0.17_0.06_0.09_0.13_0.14_0.18_0.09_0.10_0.27_0.10_0.04_0.10_0.26_0.12
token_length_filtered_dataset.csv,4,4,1.0,AdamW,20,True,3.3102762699127197,4_7_18_6_3_3_9_15_7_6_9_18_8_10_3_73_8_24_18_8,0.05_0.09_0.23_0.08_0.04_0.04_0.12_0.19_0.09_0.08_0.12_0.23_0.10_0.13_0.04_0.93_0.10_0.31_0.24_0.10
token_length_filtered_dataset.csv,5,4,1.0,AdamW,20,True,2.2308363914489746,6_12_8_5_6_8_12_5_9_5_8_6_5_6_13_8_21_9_9_13,0.08_0.15_0.10_0.06_0.08_0.10_0.15_0.06_0.11_0.06_0.10_0.08_0.06_0.08_0.17_0.10_0.27_0.12_0.12_0.17
token_length_filtered_dataset.csv,6,4,1.0,AdamW,20,True,2.510106086730957,10_8_10_7_5_5_7_25_8_6_4_7_7_5_9_4_8_7_22_31,0.13_0.10_0.13_0.09_0.06_0.06_0.09_0.32_0.10_0.08_0.05_0.09_0.09_0.06_0.12_0.05_0.10_0.09_0.29_0.40
token_length_filtered_dataset.csv,7,4,1.0,AdamW,20,True,261.7335476875305,6_11_9_5_8_5_7_8_4592_5_8_12_7_8_276_5_15_10_15161_12,0.08_0.14_0.11_0.06_0.10_0.06_0.09_0.10_59.00_0.06_0.10_0.15_0.09_0.10_3.56_0.06_0.19_0.13_197.37_0.16
token_length_filtered_dataset.csv,8,4,1.0,AdamW,20,True,3.1336686611175537,4_8_8_6_7_9_10_8_62_14_4_5_8_37_13_7_8_10_5_11,0.05_0.10_0.10_0.08_0.09_0.11_0.13_0.10_0.80_0.18_0.05_0.06_0.10_0.47_0.17_0.09_0.10_0.13_0.06_0.14
token_length_filtered_dataset.csv,9,4,1.0,AdamW,20,True,129.92499160766602,6_120_9_10_9967_5_12_9_13_4_7_5_44_7_5_5_5_4_6_10,0.08_1.53_0.12_0.13_126.29_0.06_0.15_0.11_0.16_0.05_0.09_0.06_0.56_0.09_0.06_0.06_0.06_0.05_0.08_0.13
token_length_filtered_dataset.csv,0,4,1.0,RMSprop,20,True,2.703399419784546,6_15_5_4_5_3_9_4_4_18_23_4_31_6_18_5_10_7_18_18,0.07_0.19_0.06_0.05_0.06_0.04_0.11_0.05_0.05_0.23_0.29_0.05_0.39_0.08_0.23_0.06_0.13_0.09_0.23_0.23
