dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps,times
token_length_filtered_dataset.csv,0,4,0.01,Adam,20,True,20.923943519592285,88_134_77_68_113_119_115_83_69_58_107_132_270_87_197_98_65_115_92_56,0.91_1.31_0.75_0.67_1.10_1.16_1.13_0.81_0.68_0.57_1.06_1.30_2.61_0.83_1.89_0.94_0.63_1.12_0.90_0.55
token_length_filtered_dataset.csv,1,4,0.01,Adam,20,True,23.161463022232056,71_43_89_215_187_420_104_28_32_106_140_76_116_231_251_63_81_98_69_47,0.66_0.42_0.87_2.08_1.78_4.03_0.96_0.26_0.29_0.98_1.29_0.70_1.07_2.13_2.31_0.58_0.75_0.91_0.64_0.44
token_length_filtered_dataset.csv,2,4,0.01,Adam,20,True,18.77070903778076,71_40_130_126_116_105_122_69_66_152_31_118_113_116_121_47_87_297_63_48,0.62_0.37_1.19_1.16_1.07_0.97_1.12_0.63_0.61_1.40_0.29_1.09_1.04_1.07_1.12_0.43_0.81_2.77_0.59_0.45
token_length_filtered_dataset.csv,3,4,0.01,Adam,20,True,18.173629760742188,30_319_199_19_39_127_62_99_33_40_54_101_108_142_230_20_29_147_122_46,0.26_2.92_1.83_0.17_0.36_1.17_0.57_0.91_0.30_0.37_0.50_0.93_1.00_1.31_2.14_0.19_0.27_1.39_1.15_0.43
token_length_filtered_dataset.csv,4,4,0.01,Adam,20,True,21.56206464767456,30_38_177_67_35_109_88_171_124_122_158_141_130_27_36_353_130_26_296_44,0.27_0.35_1.65_0.62_0.33_1.02_0.82_1.60_1.16_1.14_1.48_1.32_1.22_0.25_0.34_3.31_1.23_0.25_2.80_0.42
token_length_filtered_dataset.csv,5,4,0.01,Adam,20,True,18.089845418930054,58_135_85_91_95_137_77_24_136_110_109_122_93_130_95_73_111_109_90_54,0.52_1.26_0.79_0.85_0.89_1.28_0.72_0.22_1.27_1.03_1.02_1.14_0.87_1.22_0.89_0.68_1.05_1.03_0.85_0.51
token_length_filtered_dataset.csv,6,4,0.01,Adam,20,True,19.00598382949829,71_99_140_58_117_49_99_98_104_25_86_145_152_172_65_73_130_112_153_62,0.63_0.92_1.31_0.55_1.11_0.46_0.94_0.93_0.98_0.24_0.81_1.37_1.44_1.63_0.62_0.69_1.24_1.07_1.46_0.59
token_length_filtered_dataset.csv,7,4,0.01,Adam,20,True,133.53544545173645,19_111_128_102_62_25_153_38_3_69_48_81_51_115_249_71_70_155_12247_56,0.17_1.05_1.21_0.96_0.59_0.24_1.45_0.36_0.03_0.65_0.45_0.77_0.48_1.09_2.36_0.67_0.67_1.48_118.32_0.54
token_length_filtered_dataset.csv,8,4,0.01,Adam,20,True,19.870702266693115,30_112_87_17_36_120_49_30_269_126_41_101_140_274_91_93_126_216_65_52,0.27_1.07_0.83_0.16_0.34_1.15_0.47_0.29_2.57_1.20_0.39_0.97_1.34_2.62_0.87_0.89_1.22_2.09_0.63_0.50
token_length_filtered_dataset.csv,9,4,0.01,Adam,20,True,15.572444438934326,35_196_99_151_5_16_201_77_211_29_41_34_10_53_106_89_61_36_120_59,0.32_1.86_0.94_1.44_0.05_0.15_1.92_0.74_2.02_0.28_0.39_0.33_0.10_0.51_1.01_0.85_0.59_0.35_1.16_0.57
token_length_filtered_dataset.csv,0,4,0.01,AdamW,20,True,20.498193979263306,89_132_77_68_113_119_114_83_69_58_107_131_273_84_201_97_65_115_92_57,0.81_1.26_0.73_0.65_1.08_1.14_1.09_0.79_0.66_0.55_1.02_1.25_2.61_0.80_1.93_0.93_0.63_1.11_0.89_0.55
token_length_filtered_dataset.csv,1,4,0.01,AdamW,20,True,23.43648076057434,71_43_89_213_187_421_104_28_32_106_139_78_113_227_240_63_81_98_69_47,0.65_0.41_0.85_2.03_1.79_4.03_1.00_0.27_0.31_1.01_1.33_0.75_1.08_2.18_2.30_0.60_0.78_0.95_0.67_0.45
token_length_filtered_dataset.csv,2,4,0.01,AdamW,20,True,19.467559814453125,71_40_130_125_116_104_123_69_66_151_31_117_115_117_120_47_87_294_63_48,0.65_0.38_1.24_1.19_1.11_0.99_1.18_0.66_0.63_1.44_0.30_1.12_1.10_1.12_1.15_0.45_0.84_2.84_0.61_0.46
token_length_filtered_dataset.csv,3,4,0.01,AdamW,20,True,18.70466160774231,30_323_195_19_39_124_62_99_33_40_54_101_106_143_228_20_29_148_123_46,0.27_3.06_1.85_0.18_0.37_1.18_0.59_0.94_0.31_0.38_0.51_0.96_1.01_1.36_2.18_0.19_0.28_1.43_1.19_0.44
token_length_filtered_dataset.csv,4,4,0.01,AdamW,20,True,22.06325674057007,30_38_175_67_35_110_88_170_124_124_158_143_129_27_36_355_133_26_300_44,0.27_0.36_1.66_0.64_0.33_1.05_0.84_1.62_1.18_1.18_1.51_1.36_1.23_0.26_0.34_3.38_1.28_0.25_2.89_0.42
token_length_filtered_dataset.csv,5,4,0.01,AdamW,20,True,18.39428162574768,58_135_85_91_95_137_76_24_137_106_110_123_94_130_97_73_111_109_89_54,0.53_1.28_0.81_0.86_0.90_1.30_0.72_0.23_1.30_1.01_1.05_1.17_0.90_1.24_0.92_0.70_1.07_1.04_0.85_0.52
token_length_filtered_dataset.csv,6,4,0.01,AdamW,20,True,18.75789785385132,71_99_140_58_116_49_98_97_107_25_85_147_154_174_65_73_131_112_156_62,0.63_0.92_1.30_0.54_1.08_0.45_0.91_0.90_0.99_0.23_0.79_1.37_1.43_1.62_0.60_0.68_1.23_1.05_1.46_0.58
token_length_filtered_dataset.csv,7,4,0.01,AdamW,20,True,125.87159395217896,19_120_128_103_62_25_150_38_3_69_48_81_51_115_259_71_71_156_11801_56,0.17_1.11_1.18_0.95_0.57_0.23_1.39_0.35_0.03_0.64_0.45_0.75_0.47_1.07_2.41_0.66_0.67_1.47_110.76_0.54
token_length_filtered_dataset.csv,8,4,0.01,AdamW,20,True,19.64991283416748,30_113_87_17_36_120_49_30_269_126_41_100_140_268_91_92_126_219_65_52,0.27_1.06_0.82_0.16_0.34_1.14_0.46_0.28_2.55_1.19_0.39_0.95_1.33_2.54_0.86_0.87_1.21_2.10_0.62_0.50
token_length_filtered_dataset.csv,9,4,0.01,AdamW,20,True,15.329186916351318,35_193_97_150_5_16_198_76_209_29_42_34_10_53_106_90_61_36_119_60,0.32_1.82_0.91_1.41_0.05_0.15_1.88_0.72_1.98_0.27_0.40_0.32_0.09_0.50_1.01_0.85_0.58_0.35_1.14_0.57
token_length_filtered_dataset.csv,0,4,0.01,RMSprop,20,True,9.786731004714966,28_61_25_15_47_59_35_28_26_26_38_56_229_36_125_37_23_62_54_26,0.25_0.57_0.23_0.14_0.44_0.56_0.33_0.26_0.25_0.25_0.36_0.53_2.16_0.34_1.18_0.35_0.22_0.59_0.52_0.25
token_length_filtered_dataset.csv,1,4,0.01,RMSprop,20,True,12.054882764816284,17_13_31_75_102_321_42_12_10_44_76_32_60_122_200_19_26_34_24_16,0.15_0.12_0.29_0.71_0.96_3.03_0.40_0.11_0.09_0.42_0.72_0.30_0.57_1.15_1.89_0.18_0.25_0.33_0.23_0.15
token_length_filtered_dataset.csv,2,4,0.01,RMSprop,20,True,8.40075135231018,17_12_79_63_40_34_61_19_20_69_10_36_44_42_34_20_32_211_26_17,0.15_0.11_0.75_0.60_0.38_0.32_0.58_0.18_0.19_0.65_0.09_0.34_0.42_0.40_0.32_0.19_0.31_2.01_0.25_0.16
token_length_filtered_dataset.csv,3,4,0.01,RMSprop,20,True,9.271577835083008,8_224_124_6_12_46_8_35_9_15_24_57_35_41_167_4_10_64_75_18,0.07_2.10_1.17_0.06_0.11_0.43_0.08_0.33_0.08_0.14_0.23_0.54_0.33_0.39_1.58_0.04_0.10_0.61_0.72_0.17
token_length_filtered_dataset.csv,4,4,0.01,RMSprop,20,True,11.477320671081543,8_13_63_25_11_50_35_126_60_61_124_79_48_7_12_254_51_9_167_11,0.07_0.12_0.59_0.23_0.10_0.47_0.33_1.19_0.57_0.58_1.17_0.75_0.45_0.07_0.11_2.40_0.49_0.09_1.59_0.10
token_length_filtered_dataset.csv,5,4,0.01,RMSprop,20,True,7.054761648178101,18_48_26_30_39_63_25_4_51_48_63_45_39_52_34_25_54_31_26_26,0.16_0.45_0.24_0.28_0.37_0.59_0.24_0.04_0.48_0.45_0.60_0.43_0.37_0.49_0.32_0.24_0.51_0.30_0.25_0.25
token_length_filtered_dataset.csv,6,4,0.01,RMSprop,20,True,8.268605947494507,17_43_85_13_45_10_35_47_39_5_28_48_98_101_18_29_80_40_77_18,0.15_0.40_0.80_0.12_0.42_0.09_0.33_0.44_0.37_0.05_0.26_0.45_0.92_0.95_0.17_0.27_0.76_0.38_0.73_0.17
token_length_filtered_dataset.csv,7,4,0.01,RMSprop,20,True,125.6139497756958,5_54_45_46_19_5_76_10_337_21_19_41_12_44_96_39_18_65_12138_25,0.05_0.51_0.42_0.43_0.18_0.05_0.72_0.09_3.18_0.20_0.18_0.39_0.11_0.42_0.91_0.37_0.17_0.62_116.40_0.24
token_length_filtered_dataset.csv,8,4,0.01,RMSprop,20,True,9.102619886398315,8_46_30_5_11_49_17_8_169_63_12_28_50_139_30_33_60_164_26_15,0.07_0.43_0.28_0.05_0.10_0.46_0.16_0.08_1.59_0.59_0.11_0.26_0.47_1.31_0.28_0.31_0.57_1.56_0.25_0.14
token_length_filtered_dataset.csv,9,4,0.01,RMSprop,20,True,80.78740620613098,11_123_40_89_7908_4_84_24_151_7_16_10_4_13_38_30_18_12_64_14,0.10_1.15_0.38_0.84_73.76_0.04_0.78_0.22_1.41_0.07_0.15_0.09_0.04_0.12_0.35_0.28_0.17_0.11_0.60_0.13
