dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps,times
random_sentences_dataset.csv,0,4,1.0,,20,True,4003.3638050556183,20722_429_8994_40976_4744_23487_29973_8641_3562_46219_49621_47546_6471_48000_22132_42356_39880_18572_10409_33896,163.52_4.01_85.25_377.15_44.09_216.44_285.57_83.19_34.42_370.65_361.54_346.45_46.99_349.83_162.81_312.28_293.61_137.22_77.01_251.32
random_sentences_dataset.csv,1,4,1.0,,20,True,3935.3568320274353,2894_13420_33130_19170_3584_44893_45355_47888_32559_35023_43497_34812_42283_45460_23051_22844_1004_3002_19156_37626,20.09_99.12_241.48_141.20_25.44_319.59_321.92_339.92_231.18_249.06_309.44_248.25_302.63_324.92_164.82_162.39_7.25_21.31_136.12_269.23
random_sentences_dataset.csv,2,4,1.0,,20,True,3420.384323120117,15211_19669_34034_40994_2142_37282_18860_29760_13631_16012_13716_9498_8935_31989_6085_36336_11315_49667_27851_75_16013,103.16_138.50_240.53_291.33_15.26_265.07_134.13_210.01_97.44_114.13_97.87_67.58_63.49_230.74_44.85_332.35_107.43_474.12_262.51_0.68_129.22
random_sentences_dataset.csv,3,4,1.0,,20,True,5047.370660543442,20947_26886_44345_19545_45086_47135_15238_35893_30743_8598_34818_33489_46275_2830_19250_32885_35453_49668_50129_8437_43437,153.34_211.78_347.99_153.30_352.75_367.59_118.71_279.24_232.49_64.96_264.21_254.31_349.24_21.51_147.46_260.68_281.15_388.82_391.20_66.08_340.55
random_sentences_dataset.csv,4,4,1.0,,20,True,3876.5492157936096,33608_16748_29393_3860_19271_46998_30761_26149_42192_24815_5632_49560_20773_12719_1290_39157_27668_47440_43359_8852,235.95_124.82_217.25_28.19_143.89_346.53_228.18_193.20_313.27_180.98_41.01_362.01_150.51_91.48_9.26_283.96_201.32_343.99_316.67_64.08
random_sentences_dataset.csv,5,4,1.0,,20,True,3868.8704640865326,9441_29963_28564_924_48615_38213_31593_19665_38142_36767_39193_5445_6415_7307_12791_45732_47893_19966_21607_45981,65.52_214.46_206.34_6.68_351.02_276.09_227.81_141.08_274.52_266.59_285.37_39.28_46.15_52.85_94.14_334.14_348.29_146.53_157.62_334.38
random_sentences_dataset.csv,6,4,1.0,,20,True,4274.989140510559,5374_5016_38492_633_47460_32074_5930_34005_38916_34114_49278_42975_34709_35751_1711_3855_27256_32694_42521_1112_27192_46907,36.98_36.39_278.63_4.59_343.66_232.64_42.88_246.69_282.41_245.81_356.46_312.58_250.12_260.32_12.31_28.06_200.02_239.79_312.50_8.20_203.21_340.73
random_sentences_dataset.csv,7,4,1.0,,20,True,3908.339113473892,31558_20406_14721_41363_15925_10504_27257_8501_14415_5923_43487_8714_44688_28495_17888_30386_44919_28279_33714_30526_38967,216.49_146.41_108.16_301.35_116.47_75.85_196.89_60.96_104.56_44.07_316.49_63.20_320.91_205.32_129.11_220.53_327.22_205.47_244.41_220.62_283.84
random_sentences_dataset.csv,8,4,1.0,,20,True,3574.5720982551575,31407_44512_35278_24404_30388_8526_50041_34153_40603_1293_16137_26438_10332_16078_44473_5655_24272_8995_9371_29238,216.52_320.30_255.12_179.89_226.17_62.69_365.83_248.08_295.02_9.40_117.18_193.16_74.53_118.95_328.62_42.01_177.52_64.79_67.62_211.17
random_sentences_dataset.csv,9,4,1.0,,20,True,4613.113036155701,23838_6607_30266_31028_28495_48964_49750_36078_21378_47261_36355_38994_19597_4703_33115_8698_38221_31285_19695_15051_9769_42485_26868,166.29_47.49_214.11_218.78_201.82_346.13_351.97_256.76_150.90_333.97_257.64_276.78_138.04_33.31_234.56_61.45_273.89_226.92_142.21_108.41_70.01_305.54_196.13
