dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps,times
token_length_filtered_dataset.csv,0,1,1.0,SGD,20,True,1.0086772441864014,3_8_10_3_10_9_4_6_5_4_4_10_9_5_4_3_7_11_4_2,0.09_0.07_0.08_0.02_0.08_0.07_0.03_0.05_0.04_0.03_0.03_0.08_0.07_0.04_0.03_0.02_0.05_0.09_0.03_0.02
token_length_filtered_dataset.csv,1,1,1.0,SGD,20,True,0.7732193470001221,6_4_3_4_7_9_6_3_6_6_3_4_9_7_5_4_4_5_3_4,0.04_0.03_0.02_0.03_0.05_0.07_0.05_0.02_0.05_0.05_0.02_0.03_0.07_0.05_0.04_0.03_0.03_0.04_0.02_0.03
token_length_filtered_dataset.csv,2,1,1.0,SGD,20,True,0.8625314235687256,6_5_5_3_9_6_9_6_8_5_3_7_6_6_5_3_6_8_3_4,0.04_0.04_0.04_0.02_0.07_0.05_0.07_0.05_0.06_0.04_0.02_0.05_0.05_0.05_0.04_0.02_0.05_0.06_0.02_0.03
token_length_filtered_dataset.csv,3,1,1.0,SGD,20,True,0.7735681533813477,3_7_4_2_2_11_3_9_3_3_3_9_7_7_8_2_4_6_5_2,0.02_0.05_0.03_0.02_0.02_0.08_0.02_0.07_0.02_0.02_0.02_0.07_0.05_0.05_0.06_0.02_0.03_0.05_0.04_0.02
token_length_filtered_dataset.csv,4,1,1.0,SGD,20,True,0.801903486251831,3_2_4_3_6_7_8_7_7_6_3_8_4_3_5_8_5_3_9_2,0.02_0.02_0.03_0.02_0.05_0.05_0.06_0.06_0.06_0.05_0.02_0.06_0.03_0.02_0.04_0.06_0.04_0.02_0.07_0.02
token_length_filtered_dataset.csv,5,1,1.0,SGD,20,True,0.8640682697296143,4_5_5_4_7_9_6_3_7_7_7_5_5_9_6_7_4_6_5_2,0.03_0.04_0.04_0.03_0.05_0.07_0.05_0.02_0.05_0.05_0.05_0.04_0.04_0.07_0.05_0.05_0.03_0.05_0.04_0.02
token_length_filtered_dataset.csv,6,1,1.0,SGD,20,True,0.9516773223876953,6_6_5_5_9_4_14_7_4_3_5_6_8_6_5_10_6_7_7_2,0.04_0.05_0.04_0.04_0.07_0.03_0.11_0.05_0.03_0.02_0.04_0.05_0.06_0.04_0.04_0.07_0.05_0.05_0.05_0.02
token_length_filtered_dataset.csv,7,1,1.0,SGD,20,True,73.4420108795166,2_4_6_5_3_3_8_3_3_7_3_5_3_10_7_6_5_7_9333_2,0.01_0.03_0.04_0.04_0.02_0.02_0.06_0.02_0.02_0.05_0.02_0.04_0.02_0.08_0.05_0.05_0.04_0.05_72.75_0.02
token_length_filtered_dataset.csv,8,1,1.0,SGD,20,True,0.8694705963134766,3_7_4_2_4_6_4_3_15_6_2_7_8_10_8_3_8_7_5_2,0.02_0.05_0.03_0.02_0.03_0.05_0.03_0.02_0.11_0.05_0.02_0.05_0.06_0.08_0.06_0.02_0.06_0.06_0.04_0.02
token_length_filtered_dataset.csv,9,1,1.0,SGD,20,True,0.6469056606292725,3_5_5_5_2_2_7_5_6_3_4_3_2_4_6_6_4_3_8_2,0.02_0.04_0.04_0.04_0.02_0.02_0.05_0.04_0.05_0.02_0.03_0.02_0.02_0.03_0.05_0.05_0.03_0.02_0.06_0.02
token_length_filtered_dataset.csv,0,2,1.0,SGD,20,True,1.8330929279327393,7_19_12_6_12_16_7_9_10_7_10_15_23_11_13_6_7_14_9_5,0.06_0.16_0.10_0.05_0.10_0.13_0.06_0.07_0.09_0.06_0.08_0.13_0.20_0.09_0.11_0.05_0.06_0.12_0.07_0.04
token_length_filtered_dataset.csv,1,2,1.0,SGD,20,True,1.8250844478607178,11_7_8_9_17_25_9_4_9_12_8_6_15_25_12_7_14_11_5_7,0.09_0.06_0.07_0.07_0.14_0.20_0.07_0.03_0.08_0.10_0.07_0.05_0.12_0.21_0.10_0.06_0.12_0.09_0.04_0.06
token_length_filtered_dataset.csv,2,2,1.0,SGD,20,True,1.8835077285766602,11_8_8_7_17_11_16_10_13_14_3_30_13_8_9_5_12_16_5_7,0.09_0.07_0.07_0.06_0.14_0.09_0.13_0.08_0.11_0.12_0.02_0.26_0.11_0.07_0.08_0.04_0.10_0.14_0.04_0.06
token_length_filtered_dataset.csv,3,2,1.0,SGD,20,True,1.722933292388916,4_16_12_3_5_20_8_18_5_6_8_10_13_15_29_3_7_11_9_5,0.03_0.13_0.10_0.03_0.04_0.17_0.07_0.15_0.04_0.05_0.07_0.08_0.11_0.12_0.24_0.02_0.06_0.09_0.07_0.04
token_length_filtered_dataset.csv,4,2,1.0,SGD,20,True,1.5712699890136719,4_4_11_6_9_12_11_15_13_12_7_11_11_4_7_14_16_3_17_5,0.03_0.03_0.09_0.05_0.07_0.10_0.09_0.12_0.11_0.10_0.06_0.09_0.09_0.03_0.06_0.11_0.13_0.02_0.14_0.04
token_length_filtered_dataset.csv,5,2,1.0,SGD,20,True,1.5373203754425049,7_11_7_6_10_15_12_4_12_13_12_9_10_12_7_12_8_9_8_5,0.05_0.09_0.06_0.05_0.08_0.12_0.10_0.03_0.10_0.11_0.10_0.07_0.08_0.10_0.06_0.10_0.07_0.07_0.07_0.04
token_length_filtered_dataset.csv,6,2,1.0,SGD,20,True,1.8273279666900635,11_15_12_7_15_5_22_12_9_4_10_9_14_12_6_16_14_14_13_4,0.09_0.12_0.10_0.06_0.12_0.04_0.18_0.10_0.07_0.03_0.08_0.07_0.11_0.10_0.05_0.13_0.12_0.12_0.11_0.03
token_length_filtered_dataset.csv,7,2,1.0,SGD,20,True,96.32069611549377,3_8_14_8_5_4_12_5_3_10_7_7_6_18_15_10_9_14_11566_5,0.02_0.06_0.11_0.07_0.04_0.03_0.10_0.04_0.03_0.08_0.06_0.06_0.05_0.15_0.13_0.08_0.08_0.12_94.97_0.04
token_length_filtered_dataset.csv,8,2,1.0,SGD,20,True,1.5938384532928467,4_10_9_3_8_11_5_4_22_11_4_14_13_15_16_7_20_12_7_5,0.03_0.08_0.07_0.02_0.06_0.09_0.04_0.03_0.17_0.09_0.03_0.11_0.10_0.12_0.13_0.06_0.16_0.10_0.06_0.04
token_length_filtered_dataset.csv,9,2,1.0,SGD,20,True,1.3856115341186523,6_9_12_8_5_3_24_11_14_4_6_6_2_9_10_9_8_6_17_5,0.05_0.07_0.10_0.06_0.04_0.02_0.19_0.09_0.11_0.03_0.05_0.05_0.02_0.07_0.08_0.07_0.06_0.05_0.14_0.04
token_length_filtered_dataset.csv,0,3,1.0,SGD,20,True,3.616381883621216,11_29_21_11_26_32_13_20_20_14_18_23_32_20_32_11_20_29_28_9,0.09_0.25_0.18_0.09_0.23_0.28_0.11_0.17_0.17_0.12_0.15_0.20_0.28_0.17_0.27_0.09_0.17_0.26_0.24_0.08
token_length_filtered_dataset.csv,1,3,1.0,SGD,20,True,4.39663028717041,18_11_15_23_42_83_15_6_11_17_32_16_30_54_38_16_28_20_13_11,0.15_0.10_0.13_0.20_0.36_0.72_0.13_0.05_0.10_0.15_0.28_0.14_0.28_0.49_0.33_0.14_0.25_0.18_0.12_0.10
token_length_filtered_dataset.csv,2,3,1.0,SGD,20,True,3.995035409927368,18_12_16_15_30_22_32_20_24_25_7_45_25_20_23_11_17_49_12_11,0.19_0.11_0.15_0.14_0.28_0.20_0.29_0.18_0.22_0.23_0.07_0.41_0.23_0.18_0.24_0.10_0.15_0.43_0.11_0.10
token_length_filtered_dataset.csv,3,3,1.0,SGD,20,True,3.564354181289673,5_27_23_4_9_29_16_43_8_9_15_21_32_27_58_4_10_23_24_8,0.04_0.24_0.20_0.03_0.08_0.25_0.15_0.39_0.07_0.08_0.13_0.19_0.30_0.24_0.51_0.04_0.09_0.20_0.25_0.07
token_length_filtered_dataset.csv,4,3,1.0,SGD,20,True,4.001295328140259,5_7_18_15_11_30_21_35_31_33_23_34_24_6_11_32_22_4_30_8,0.04_0.06_0.16_0.13_0.10_0.31_0.21_0.35_0.31_0.33_0.23_0.35_0.25_0.06_0.11_0.32_0.23_0.04_0.31_0.08
